analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,p_fdr
primary,mattr50,level_within,0.16358673980567962,0.029005098828733,0.10673674610136294,0.2204367335099963,5.639930440217205,1.7011887377908822e-08,3435,364,True,8991.467387944824,4.252971844477205e-08
primary,mattr50,level_between,0.28927861046959036,0.06236983093610138,0.16703374183483166,0.41152347910434905,4.638117598329867,3.515967271766229e-06,3435,364,True,8991.467387944824,
primary,mattr50,log_len_z,0.17403055160629996,0.020297906518547616,0.13424665482994663,0.2138144483826533,8.573817770186107,1.0010978950117708e-17,3435,364,True,8991.467387944824,
paragraph_only,mattr50,level_within,0.25884047339738564,0.040416066499008925,0.17962498305932814,0.3380559637354431,6.404395474847432,1.5096633587231953e-10,1576,234,True,4193.435789951482,7.548316793615976e-10
paragraph_only,mattr50,level_between,0.26413901630517367,0.07472208770762262,0.11768372439823332,0.410594308212114,3.5349523067223947,0.00040784876442295694,1576,234,True,4193.435789951482,
paragraph_only,mattr50,log_len_z,0.15123985237073817,0.02654531998443959,0.09921102520123658,0.20326867954023975,5.697420579574568,1.2163361152669877e-08,1576,234,True,4193.435789951482,
min150_words,mattr50,level_within,0.15102731958488247,0.03306662499767684,0.08621673458943586,0.2158379045803291,4.567364210756108,4.9389542171064855e-06,2678,321,True,6837.938522920424,2.4694771085532425e-05
min150_words,mattr50,level_between,0.3584968765967597,0.0818636575443307,0.19804410780987156,0.5189496453836479,4.379194472255616,1.1911879725012274e-05,2678,321,True,6837.938522920424,
min150_words,mattr50,log_len_z,0.132509869892767,0.02115976210587159,0.09103673616525867,0.17398300362027533,6.262351591183392,3.792147251673036e-10,2678,321,True,6837.938522920424,
exact_deduplicated,mattr50,level_within,0.1622626432390193,0.0291856580976205,0.10505875336768311,0.21946653311035547,5.55967053051473,2.7028439198458208e-08,3394,364,True,8895.86081357584,6.757109799614551e-08
