metric,L1,estimate_std,ci_low,ci_high,p_value,n_texts,n_students
mattr50,Arabic,0.19278159683422705,0.06764624991650756,0.31791694375194657,0.0025315388986909175,1314,161
mattr50,Chinese,0.0032660869823261524,-0.15856663582416985,0.1650988097888222,0.9684467359042261,620,54
mattr50,Korean,0.2728445497715357,0.11760867222586702,0.4280804273172044,0.0005712265459873207,722,70
mattr50,Japanese,0.02210111161455203,-0.2606180112471241,0.30482023447622814,0.8782249123626094,196,17
mtld,Arabic,0.2129647368406013,0.10323103235220349,0.3226984413289991,0.00014246272323487912,1314,161
mtld,Chinese,0.04616649384763509,-0.09145209376541737,0.18378508146068756,0.5108496316431195,620,54
mtld,Korean,0.20556110465101463,0.061793860105997966,0.3493283491960313,0.005071689669791156,722,70
mtld,Japanese,0.04635290398687757,-0.22924621891346958,0.32195202688722474,0.7416632287817065,196,17
lexical_density,Arabic,0.08866027751310619,-0.04720358956043623,0.2245241445866486,0.20088601997464184,1314,161
lexical_density,Chinese,0.023344682871482926,-0.18659326127779782,0.23328262702076366,0.8274695406288286,620,54
lexical_density,Korean,-0.04605504257317575,-0.2790167369011358,0.18690665175478433,0.698401250280507,722,70
lexical_density,Japanese,0.2992911967825113,-0.03082147516783218,0.6294038687328548,0.07556797685199516,196,17
mean_log_frequency_content,Arabic,0.012183757273304903,-0.10756222179337327,0.13192973633998306,0.8419314662575849,1314,161
mean_log_frequency_content,Chinese,-0.14240450243674257,-0.32328286317727845,0.038473858303793296,0.12280728416927139,620,54
mean_log_frequency_content,Korean,0.009478305389734163,-0.1933167966068484,0.2122734073863167,0.9270101812912951,722,70
mean_log_frequency_content,Japanese,-0.10460880649201423,-0.43515335903338725,0.22593574604935882,0.5350673150618785,196,17
rare_content_rate,Arabic,-0.08055189103575332,-0.20040247766511643,0.039298695593609795,0.1877310159694623,1314,161
rare_content_rate,Chinese,0.1302317969891535,-0.0646087357002618,0.3250723296785688,0.19017287585091458,620,54
rare_content_rate,Korean,-0.04040667319213676,-0.24456460462231344,0.16375125823803993,0.6980747487316391,722,70
rare_content_rate,Japanese,0.041513640214535005,-0.35244679707605814,0.4354740775051282,0.8363727982034606,196,17
